ward,type_of_service_request
41.0,21637
45.0,16788
19.0,16534
23.0,16398
32.0,16173
13.0,15765
39.0,15699
8.0,15336
42.0,14730
34.0,14528
21.0,14126
2.0,13790
18.0,13761
36.0,13687
27.0,13221
38.0,12878
50.0,12760
14.0,12244
10.0,12146
40.0,11965
29.0,11730
6.0,11460
35.0,10732
28.0,10693
25.0,10621
1.0,10545
5.0,10438
9.0,10380
11.0,9743
12.0,9620
49.0,9551
47.0,9458
31.0,9351
17.0,9055
24.0,9044
37.0,8942
30.0,8436
26.0,8358
43.0,8231
7.0,7997
33.0,7922
16.0,7825
3.0,7611
20.0,7541
15.0,7334
48.0,7076
4.0,7042
22.0,6966
44.0,6373
46.0,4340
0.0,1564
